No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
145,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,USA,63.53B,29.29,199.11,-0.91%,"1,792,906"
146,SNOW,Snowflake Inc.,Technology,Software - Application,USA,62.96B,-,240.00,5.48%,"7,444,585"
147,VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,Brazil,62.61B,48.77,11.51,-3.11%,"46,142,890"
148,BX,The Blackstone Group Inc.,Financial,Asset Management,USA,62.47B,48.08,52.70,0.96%,"5,692,149"
149,ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,Canada,62.38B,42.19,30.50,-1.10%,"2,450,454"
150,DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,62.22B,29.20,82.95,-1.95%,"4,989,462"
151,CI,Cigna Corporation,Healthcare,Healthcare Plans,USA,62.06B,11.95,167.92,-0.64%,"3,014,752"
152,GE,General Electric Company,Industrials,Specialty Industrial Machinery,USA,61.71B,18.06,6.88,-2.41%,"144,918,328"
153,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,61.22B,25.51,169.05,-0.97%,"2,322,949"
154,CSX,CSX Corporation,Industrials,Railroads,USA,60.82B,21.46,79.83,0.42%,"6,732,847"
155,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,60.80B,34.18,80.09,1.68%,"9,401,538"
156,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,60.11B,21.50,555.24,-1.73%,"1,960,844"
157,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,59.71B,29.74,117.67,-0.18%,"3,065,992"
158,VMW,"VMware, Inc.",Technology,Software - Infrastructure,USA,59.40B,33.04,141.19,-0.14%,"1,613,725"
159,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,59.28B,23.77,135.09,-2.02%,"3,146,638"
160,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,59.22B,45.35,204.02,-1.68%,"1,908,521"
161,TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,58.99B,23.06,18.71,-0.69%,"3,371,682"
162,INFY,Infosys Limited,Technology,Information Technology Services,India,58.32B,24.77,13.50,-1.24%,"9,828,729"
163,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,USA,57.32B,24.01,341.50,-0.68%,"689,085"
164,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial,Banks - Diversified,Japan,57.17B,17.85,4.23,0.24%,"653,397"
165,USB,U.S. Bancorp,Financial,Banks - Regional,USA,57.08B,11.82,37.62,-0.71%,"7,792,656"
166,NSC,Norfolk Southern Corporation,Industrials,Railroads,USA,56.87B,27.54,221.03,-0.86%,"1,764,452"
167,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,56.75B,-,38.48,-3.00%,"10,463,186"
168,MU,"Micron Technology, Inc.",Technology,Semiconductors,USA,56.64B,25.37,50.74,-0.47%,"25,527,478"
169,SO,The Southern Company,Utilities,Utilities - Regulated Electric,USA,56.52B,17.32,52.81,-1.33%,"6,258,814"
170,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,56.52B,38.89,25.86,-0.81%,"1,815,507"
171,ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,USA,56.10B,25.70,99.21,-0.75%,"4,792,490"
172,PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,USA,55.86B,13.00,96.86,1.50%,"3,890,183"
173,PBR,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,55.56B,-,8.21,-4.31%,"28,384,398"
174,GPN,Global Payments Inc.,Industrials,Specialty Business Services,USA,54.31B,121.49,179.20,-1.26%,"2,681,781"
175,NEM,Newmont Corporation,Basic Materials,Gold,USA,53.26B,13.18,64.71,-2.43%,"12,523,306"
176,MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,USA,53.06B,30.74,280.82,-0.67%,"863,974"
177,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,52.91B,12.68,39.16,-0.25%,"6,452,820"
178,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,52.82B,24.59,117.42,0.33%,"2,602,043"
179,HUM,Humana Inc.,Healthcare,Healthcare Plans,USA,52.58B,15.32,402.63,1.29%,"1,274,589"
180,PBR-A,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,52.57B,10.98,8.06,-5.06%,"17,101,522"
181,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,Norway,52.28B,-,15.73,-1.56%,"2,978,599"
182,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,52.03B,71.23,83.20,-0.59%,"3,589,489"
183,GOLD,Barrick Gold Corporation,Basic Materials,Gold,Canada,51.57B,11.55,28.89,-0.86%,"26,895,402"
184,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,51.45B,16.31,56.15,-0.34%,"11,907,818"
185,BAM,Brookfield Asset Management Inc.,Financial,Asset Management,Canada,50.81B,115.38,33.46,-0.59%,"1,339,384"
186,BNS,The Bank of Nova Scotia,Financial,Banks - Diversified,Canada,50.78B,9.68,41.58,-0.91%,"1,119,387"
187,DG,Dollar General Corporation,Consumer Defensive,Discount Stores,USA,50.68B,22.61,208.10,2.26%,"3,892,403"
188,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,50.00B,19.62,145.97,-0.44%,"1,946,900"
189,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,49.77B,134.41,225.13,-0.81%,"1,998,440"
190,DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA,49.70B,23.93,66.37,-0.29%,"10,834,540"
191,WM,"Waste Management, Inc.",Industrials,Waste Management,USA,48.82B,30.52,115.27,-0.25%,"3,061,143"
192,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,Argentina,48.73B,-,998.06,1.83%,"608,608"
193,CEO,CNOOC Limited,Energy,Oil & Gas E&P,Hong Kong,48.16B,7.84,106.87,-1.34%,"119,821"
194,WDAY,"Workday, Inc.",Technology,Software - Application,USA,48.16B,-,200.45,-1.35%,"2,305,106"
195,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,USA,47.49B,19.88,111.76,-0.11%,"2,229,878"
196,UBS,UBS Group AG,Financial,Banks - Diversified,Switzerland,47.37B,9.72,12.03,-1.96%,"1,933,494"
197,AON,Aon Plc,Financial,Insurance Brokers,United Kingdom,46.67B,26.77,201.00,-0.33%,"1,420,619"
198,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,46.36B,13.64,132.25,-3.57%,"2,068,420"
199,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,46.15B,15.13,36.03,0.61%,"9,010,354"
200,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,45.68B,30.00,31.50,-1.32%,"15,028,514"
